SaleID,CustomerID,ProductID,SaleDate,Quantity,TotalAmount,DiscountApplied,OrderStatus,SalesRepID
1,1,1,2023-06-13,4,461.21,18.35,Shipped,1004.0
2,2,2,2023-06-04,5,307.45,14.09,Cancelled,1002.0
3,3,3,2023-06-09,3,354.4,5.8,Delivered,1005.0
4,4,4,2023-06-16,4,483.98,18.25,Shipped,1003.0
5,5,5,2023-06-15,2,394.77,16.31,Shipped,1002.0
6,6,6,2023-06-12,1,214.77,14.09,Shipped,1002.0
7,7,7,2023-06-19,1,417.39,1.97,Processing,1002.0
8,8,8,2023-06-10,4,367.44,14.18,Unknown,1001.0
9,9,9,2023-06-08,0,336.39,10.04,Cancelled,1004.0
10,10,10,2023-06-07,5,252.61,5.85,Unknown,1003.0
11,11,11,2023-06-01,5,230.26,11.46,Cancelled,1005.0
12,12,12,2023-06-07,4,459.01,13.49,Shipped,1002.0
13,13,13,2023-06-13,5,348.32,4.8,Cancelled,1003.0
14,14,14,2023-06-10,5,191.9,5.08,Processing,1004.0
15,15,15,2023-06-18,2,395.9,13.43,Shipped,1003.0
16,16,16,2023-06-17,3,421.52,7.05,Shipped,1001.0
17,17,17,2023-06-15,5,281.97,2.05,Processing,1002.0
18,18,18,2023-06-07,2,216.52,15.78,Processing,1003.0
19,19,19,2023-06-14,1,379.04,3.91,Delivered,1002.0
20,20,20,2023-06-07,1,440.82,0.72,Processing,1004.0
21,21,21,2023-06-08,5,419.58,16.37,Shipped,1003.0
22,22,22,2023-06-15,3,401.92,4.14,Cancelled,1004.0
23,23,23,2023-06-07,2,377.45,8.08,Cancelled,1003.0
24,24,24,2023-06-09,3,227.07,5.19,Cancelled,1001.0
25,25,25,2023-06-10,5,197.19,13.1,Processing,1001.0
26,26,26,2023-06-02,3,249.58,13.29,Shipped,Unknown
27,27,27,2023-06-04,1,388.18,19.32,Cancelled,1004.0
28,28,28,2023-06-17,5,379.32,8.82,Cancelled,1002.0
29,29,29,2023-06-05,4,465.7,6.92,Shipped,1004.0
30,30,30,2023-06-08,4,370.21,3.05,Processing,Unknown
31,31,31,2023-06-07,1,208.57,12.85,Processing,1001.0
32,32,32,2023-06-12,2,339.38,7.93,Shipped,1003.0
33,33,33,2023-06-01,2,150.74,8.91,Processing,1002.0
34,34,34,2023-06-13,1,154.22,1.69,Shipped,1005.0
35,35,35,2023-06-06,1,337.73,3.09,Delivered,1003.0
36,36,36,2023-06-19,3,342.19,9.92,Cancelled,1004.0
37,37,37,2023-06-08,1,394.72,7.57,Processing,1005.0
38,38,38,2023-06-13,4,367.32,18.75,Processing,1004.0
39,39,39,2023-06-01,3,269.14,10.62,Cancelled,1004.0
40,40,40,2023-06-16,3,319.99,7.24,Shipped,1002.0
41,41,41,2023-06-05,2,170.4,8.07,Cancelled,1003.0
42,42,42,2023-06-16,4,151.22,16.27,Processing,1004.0
43,43,43,2023-06-03,2,175.72,18.65,Cancelled,1003.0
44,44,44,2023-06-02,3,492.62,12.18,Processing,1001.0
45,45,45,2023-06-12,3,376.36,5.08,Shipped,1005.0
46,46,46,2023-06-19,3,337.74,8.22,Cancelled,1003.0
47,47,47,2023-06-07,1,338.37,8.88,Processing,1004.0
48,48,48,2023-06-05,5,443.58,2.21,Shipped,1004.0
49,49,49,2023-06-01,5,208.39,7.39,Delivered,1001.0
50,50,50,2023-06-19,3,216.85,12.78,Shipped,1003.0
51,51,51,2023-06-01,5,424.34,8.21,Cancelled,1001.0
52,52,52,2023-06-18,4,424.65,5.77,Delivered,1003.0
53,53,53,2023-06-14,4,347.87,16.91,Processing,1004.0
54,54,54,2023-06-05,2,496.72,8.11,Delivered,1004.0
55,55,55,2023-06-14,3,218.16,15.5,Cancelled,1002.0
56,56,56,2023-06-15,5,367.21,8.42,Processing,1004.0
57,57,57,2023-06-06,1,311.8,17.63,Cancelled,1002.0
58,58,58,2023-06-18,4,463.65,14.4,Processing,1002.0
59,59,59,2023-06-07,3,367.1,18.24,Shipped,1002.0
60,60,60,2023-06-01,4,153.34,19.43,Processing,1003.0
61,61,61,2023-06-09,3,310.99,7.28,Shipped,1004.0
62,62,62,2023-06-03,3,305.46,0.68,Cancelled,1001.0
63,63,63,2023-06-05,3,488.2,11.15,Cancelled,1002.0
64,64,64,2023-06-04,4,347.7,15.84,Delivered,1004.0
65,65,65,2023-06-04,2,190.76,2.92,Delivered,1005.0
66,66,66,2023-06-09,3,404.64,19.96,Processing,1004.0
67,67,67,2023-06-02,3,424.3,5.76,Cancelled,1004.0
68,68,68,2023-06-12,5,471.31,4.9,Shipped,1005.0
69,69,69,2023-06-14,4,219.77,4.98,Cancelled,1005.0
70,70,70,2023-06-19,5,340.7,15.62,Processing,1005.0
71,71,71,2023-06-16,1,353.52,18.43,Shipped,1005.0
72,72,72,2023-06-03,3,400.65,0.54,Processing,1001.0
73,73,73,2023-06-16,3,345.16,4.99,Cancelled,1004.0
74,74,74,2023-06-18,1,287.93,14.13,Shipped,1002.0
75,75,75,2023-06-16,2,237.89,14.24,Shipped,1005.0
76,76,76,2023-06-14,4,336.62,8.44,Processing,1004.0
77,77,77,2023-06-05,2,454.53,12.02,Shipped,1005.0
78,78,78,2023-06-19,2,403.03,11.22,Cancelled,1003.0
79,79,79,2023-06-07,2,157.34,10.07,Cancelled,1002.0
80,80,80,2023-06-09,2,279.4,19.36,Processing,1001.0
81,81,81,2023-06-17,3,451.57,13.56,Cancelled,1003.0
82,82,82,2023-06-13,2,218.28,1.44,Processing,1004.0
83,83,83,2023-06-06,1,483.02,12.93,Processing,1005.0
84,84,84,2023-06-16,3,420.09,10.42,Shipped,1004.0
85,85,85,2023-06-11,1,164.35,6.13,Processing,1004.0
86,86,86,2023-06-02,5,207.72,5.79,Cancelled,1005.0
87,87,87,2023-06-15,4,163.01,8.42,Cancelled,1002.0
88,88,88,2023-06-12,1,444.64,12.81,Shipped,1003.0
89,89,89,2023-06-18,1,425.05,15.07,Shipped,1003.0
90,90,90,2023-06-11,5,201.68,16.31,Shipped,1004.0
91,91,91,2023-06-14,4,497.35,16.31,Shipped,1003.0
92,92,92,2023-06-03,1,164.19,1.78,Shipped,1003.0
93,93,93,2023-06-18,1,398.71,9.98,Delivered,1003.0
94,94,94,2023-06-19,4,370.94,7.37,Processing,1002.0
95,95,95,2023-06-03,3,340.39,10.69,Processing,1005.0
96,96,96,2023-06-01,4,260.97,19.86,Cancelled,1004.0
97,97,97,2023-06-04,5,460.07,2.5,Processing,1002.0
98,98,98,2023-06-13,4,400.28,9.08,Processing,1001.0
99,99,99,2023-06-02,4,307.3,8.99,Cancelled,1004.0
100,100,100,2023-06-13,4,356.19,15.35,Cancelled,1003.0
101,101,101,2023-06-19,5,434.68,2.63,Shipped,1002.0
102,102,102,2023-06-18,5,249.83,6.73,Cancelled,1005.0
103,103,103,2023-06-10,4,267.33,0.13,Delivered,1001.0
104,104,104,2023-06-18,2,353.21,19.02,Shipped,1004.0
105,105,105,2023-06-10,3,374.17,16.42,Processing,1003.0
106,106,106,2023-06-06,5,310.76,10.85,Processing,1002.0
107,107,107,2023-06-18,4,445.86,19.44,Cancelled,1002.0
108,108,108,2023-06-16,3,185.77,19.9,Processing,1001.0
109,109,109,2023-06-02,1,155.06,10.34,Processing,1005.0
110,110,110,2023-06-02,5,421.46,16.25,Processing,1003.0
111,111,111,2023-06-17,3,333.8,15.79,Cancelled,1003.0
112,112,112,2023-06-08,3,297.82,8.53,Cancelled,1003.0
113,113,113,2023-06-08,5,447.72,12.43,Cancelled,1005.0
114,114,114,2023-06-01,3,349.8,17.21,Processing,1004.0
115,115,115,2023-06-08,4,420.28,15.51,Processing,1002.0
116,116,116,2023-06-09,5,215.88,9.49,Shipped,1004.0
117,117,117,2023-06-10,3,305.95,9.31,Processing,1002.0
118,118,118,2023-06-02,4,240.19,8.91,Shipped,1005.0
119,119,119,2023-06-02,2,310.81,5.9,Processing,1005.0
120,120,120,2023-06-16,2,270.05,19.94,Cancelled,1005.0
121,121,121,2023-06-07,2,458.58,9.23,Processing,1004.0
122,122,122,2023-06-16,2,211.03,14.77,Cancelled,1002.0
123,123,123,2023-06-12,2,354.6,19.76,Processing,1003.0
124,124,124,2023-06-13,1,192.62,8.93,Delivered,1001.0
125,125,125,2023-06-11,4,463.52,12.18,Shipped,1002.0
126,126,126,2023-06-05,2,433.3,4.3,Delivered,1001.0
127,127,127,2023-06-10,5,487.43,2.44,Processing,1001.0
128,128,128,2023-06-11,2,274.62,9.76,Cancelled,1003.0
129,129,129,2023-06-06,5,324.28,3.86,Shipped,1004.0
130,130,130,2023-06-09,2,468.27,7.75,Processing,1004.0
131,131,131,2023-06-07,4,152.42,2.27,Delivered,1005.0
132,132,132,2023-06-07,3,322.63,12.39,Shipped,1005.0
133,133,133,2023-06-05,1,330.21,15.78,Cancelled,1004.0
134,134,134,2023-06-13,4,170.02,0.79,Delivered,1003.0
135,135,135,2023-06-06,1,330.03,2.74,Cancelled,1003.0
136,136,136,2023-06-04,4,345.24,14.67,Delivered,1004.0
137,137,137,2023-06-14,1,210.27,9.63,Shipped,1001.0
138,138,138,2023-06-09,5,369.38,15.67,Shipped,1003.0
139,139,139,2023-06-16,3,448.66,11.94,Processing,1004.0
140,140,140,2023-06-06,5,331.6,17.36,Processing,1002.0
141,141,141,2023-06-11,5,200.43,17.14,Cancelled,1003.0
142,142,142,2023-06-03,5,215.91,15.52,Cancelled,1003.0
